,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
20,জাতের পাগলা,0.0,0.0,0.0,0.0,1.0,0.0
21,"এটা কখনোই মানুষ না,,,এটা রোবট,,কারন এত টল মেয়ে মানুষ হয় না,,😏😏😏",0.0,1.0,0.0,0.0,1.0,0.0
22,এই ভিডিও টা করার পর মেয়েটা সুইসাইড করে🥺,0.0,0.0,0.0,0.0,0.0,0.0
23,Hahahaha ekdom.youtoub ar scandal cahra tmio bekar ??,1.0,0.0,0.0,0.0,0.0,0.0
24,ha ha ha,0.0,0.0,0.0,0.0,0.0,0.0
25,ekhane egula bole lab nai. 99% manush e faltu comment kore chole jabe tmi ki bolla or bujhaite chaila eta Kew dekhbe na  Eta asholei Bangladesh bro!  I'm a girl & & amar kharap lagtse j Ami Bangladesh e jonmaisi??,0.0,0.0,0.0,0.0,0.0,0.0
26,দুই সানি লিওন একসাথে জানি না কি হয় 😂😂😂😂,1.0,0.0,0.0,0.0,0.0,0.0
27,ekhane egula bole lab nai. 99% manush e faltu comment kore chole jabe tmi ki bolla or bujhaite chaila eta Kew dekhbe na  Eta asholei Bangladesh bro!  I'm a girl & & amar kharap lagtse j Ami Bangladesh e jonmaisi??,0.0,0.0,0.0,0.0,0.0,0.0
28,কি অবস্তা করছে রে মায়া দয়া হয় নাই মনে হয় সেই এক টা ডাকাত😅,0.0,0.0,0.0,0.0,1.0,0.0
29,nice 🥰🥰🥰🥰🥰🥰,0.0,0.0,0.0,0.0,0.0,0.0
30,Darun....onnno jogote cole gelan.. ??,0.0,0.0,0.0,0.0,0.0,0.0
31,jara bje bje com kre tara nijer k ki vabe...gali dilei vlo manus howya jay nh rojar mash but manus mukher vasa atto ta nich j ki blbo,0.0,0.0,0.0,0.0,0.0,0.0
32,khuda . amare bachai rakho .. plz :D,1.0,0.0,0.0,0.0,0.0,0.0
33,আহারে দিঘী বেচারা একটা ছবি তোলার আসায় দ্বারিয়ে ছিলো এরা আবার দ্বাবি করে বাংলার সেলিব্রেটি😏😏,0.0,0.0,0.0,0.0,0.0,0.0
34,Class 6 -10 katiye diyechi,0.0,0.0,0.0,0.0,0.0,0.0
35,এটা আমি কি দেখলাম দুই সানি লিওন 1 সাথে,0.0,1.0,0.0,0.0,1.0,0.0
36,এতো মোটা হালায় খায় কি ৫ কেজি আমার শরীরে দিয়ে দে,0.0,1.0,0.0,0.0,0.0,1.0
37,"আচ্ছা আমি ভাবছি এই জলহস্তি যদি মহিলা গুলির উপর পরে কি অবস্থাটা হবে,,, 🤔🤔🤔",0.0,0.0,0.0,0.0,1.0,0.0
38,"আমার মত কে কে কমেন্ট পরতে আসছেন
সারা দেন 😂😂😂",0.0,0.0,0.0,0.0,0.0,0.0
39,পুরাই পতিবন্ধি,1.0,0.0,0.0,0.0,0.0,1.0
40,সেই মুসলিমদের আজকে এই অবস্থা,0.0,0.0,0.0,0.0,0.0,0.0
41,Bastob,0.0,0.0,0.0,0.0,0.0,0.0
42,xxxx🥺,1.0,0.0,0.0,0.0,0.0,0.0
43,"একের মাল গুলো সব এক সাথে, 😂",0.0,1.0,0.0,0.0,1.0,0.0
44,আমি কাটুন ভেবেছিলাম,0.0,0.0,0.0,0.0,0.0,0.0
45,প্রথমে দেইখা ভয় পাইছিলাম😬 কিন্তু পরে নাইখা এমার বোনের উপর কেরাশ খাইছি🤧 নাইখা এমার বইন on fire🔥👽,0.0,0.0,0.0,0.0,0.0,0.0
46,xxxxxxxxx,1.0,0.0,0.0,0.0,0.0,0.0
47,you are so sweet,0.0,0.0,0.0,0.0,0.0,0.0
48,আস্ত একটা জলহস্তী 😳,0.0,0.0,0.0,0.0,1.0,0.0
49,nek,0.0,0.0,0.0,0.0,0.0,0.0
50,Right 😂😂😂😂😂😂,0.0,0.0,0.0,0.0,0.0,0.0
51,bro ei likhata sera chilo apner ??,0.0,0.0,0.0,0.0,0.0,0.0
52,nise,0.0,0.0,0.0,0.0,0.0,0.0
53,thanks,0.0,0.0,0.0,0.0,0.0,0.0
54,মালিঙ্গার সাথে তামিমকেও অবশরে পাঠানো দরকার ছিলো....,0.0,0.0,0.0,0.0,0.0,0.0
55,Muslim Vaiti manush ke motivate korte giye bash kheye ekhon demotivate korar poth beche niyechen. Kew Ameen na bole jaben na ?,0.0,0.0,0.0,0.0,0.0,0.0
56,এটা তো ভাইরাল😆😆,1.0,0.0,0.0,0.0,0.0,0.0
57,ধন্যবাদ,0.0,0.0,0.0,0.0,0.0,0.0
58,সবাই কে ঈদ মোবারক,0.0,0.0,0.0,0.0,0.0,0.0
59,putul,0.0,0.0,0.0,0.0,0.0,0.0
60,xxxxxxxxx🥰🥰🥰🥰🥰🥰🥰🥰,1.0,0.0,0.0,0.0,0.0,0.0
61,Sotti tay.....,0.0,0.0,0.0,0.0,0.0,0.0
62,tor jibon theke neya ??,0.0,0.0,0.0,0.0,0.0,0.0
63,টিক টকে এসে পাছার সাইজ ও বুকের সাইজ দেখাচ্ছেন 😏😏,0.0,0.0,1.0,0.0,0.0,0.0
64,"এখন তামিম ইকবাল সংবাদ সম্মেলনে বলবে : অামরা ৩০-৪০ রান বেশি দিয়ে ফেলেছি। শুরুতে অামরা ওদের চাপে রাখতে পারিনি। অাগামি ম্যাচে অামরা ঘুরে (কোন দিকে???) দাঁড়াবো! সেই সাথে প্রধানমন্ত্রীর হস্তক্ষেপ কামনা করছি। তিনি যেন অামাদেরকে জেতার জন্য নির্দেশ দেন, অামরা তাঁর নির্দেশের অপেক্ষায় অাছি!!!",1.0,0.0,0.0,0.0,1.0,0.0
65,কমেন্ট পরতে আসলাম।,1.0,1.0,1.0,0.0,0.0,0.0
66,Sotti tay.....,0.0,0.0,0.0,0.0,0.0,0.0
67,"poro ??
",0.0,0.0,0.0,0.0,0.0,0.0
68,আখি গুটি গুটি আম দেখা যায়,0.0,0.0,1.0,0.0,0.0,0.0
69,এতগুলা পরার কি দরকার সব খুলে ফেলো,0.0,1.0,0.0,0.0,1.0,0.0
70,"যেখানে পুরো দেশবাসী এই বেয়াদব মহিলার বিচার চাই,,,, ধিক্কার জানাই এ দেশের শাসনব্যবস্থাকে...যারা অন্যায়কে প্রশ্রয় দেই,,,, তারা কিভাবে এদেশে ন্যায় প্রতিষ্ঠা করবে,,,ছি!ছি",1.0,1.0,0.0,0.0,1.0,1.0
71,কয়টা পরছে,1.0,0.0,0.0,0.0,1.0,0.0
72,দেশে এই সব কি শুরু হইছে?  ভালো নিরঅপরাধ মানুষ গুলো অকাতরে প্রান দিতেছে।।,1.0,0.0,0.0,0.0,0.0,1.0
73,thanks...chester ke niye likhar jnno Kintu aro likhte parten,0.0,0.0,0.0,0.0,0.0,0.0
74,"দিল্লি থেকে ফোন এসেগেছে মনেহয়??  আমার সন্দেহ, আমাদের সরকারের এতো বড় ক্ষমতা আছে কিনা প্রিয়া শাহার বিরুদ্ধে ব্যবস্থা নেয়ার।",1.0,0.0,0.0,0.0,0.0,0.0
75,জারক সন্তান ছাড়া এ ধরনের কাজ করা কারো দ্বারা সম্ভব নয়,0.0,0.0,1.0,0.0,1.0,0.0
76,Nice 😁😁😁,0.0,0.0,0.0,0.0,0.0,0.0
77,Apnaka onak thanks.,0.0,0.0,0.0,0.0,0.0,0.0
78,ami ar amar jamai,0.0,0.0,0.0,0.0,0.0,0.0
79,গে র মারে বাপ,1.0,0.0,0.0,0.0,0.0,0.0
80,আমি কিছু দেখি নেই 😂😂😂😂😂,0.0,0.0,0.0,0.0,0.0,0.0
81,কুত্তা ছেরি 😬😬🙄,0.0,0.0,0.0,0.0,1.0,0.0
82,Sundar🥰🥰🥰🥰🥰🥰🥰,0.0,0.0,0.0,0.0,0.0,0.0
83,জাতের পাগল,0.0,0.0,0.0,0.0,1.0,0.0
84,Amar shathe shojashoji na kothai bole amar bepar e kotha bole'.,0.0,0.0,0.0,0.0,0.0,0.0
85,অসাধারন লাগলো পোস্টটা। অনেক ধন্যবাদ আপনাকে।,0.0,0.0,0.0,0.0,0.0,0.0
86,দুই সানি লিওন এক সাথে 🥺🥺🥺,1.0,0.0,0.0,0.0,0.0,0.0
87,আরে অইটা সাপিন বাবার স্যুপ ব্যাটারি!,0.0,0.0,0.0,0.0,0.0,0.0
88,তুই ভালা হবু না,1.0,0.0,0.0,0.0,0.0,0.0
89,"গুরু অসাম,,,🥰",1.0,0.0,0.0,0.0,0.0,0.0
90,কলিজা লাইক দিয়ে ফলো করো সব সময় পাশে পাবা ইনশাআল্লাহ,0.0,0.0,0.0,0.0,0.0,0.0
91,এটা কী শরীল নাকি অন্য কিছু,0.0,1.0,0.0,0.0,1.0,0.0
92,"he he.. esob post porle hasi ase,kew lekhe meyeder dukkher kotha,kew likhe cheleder dukkher kotha...",0.0,0.0,0.0,0.0,0.0,0.0
93,পাবনা পাগল গারদের মেইন গেট উন্মুক্ত করে দেয়াতে সরকারের প্রতি তীব্র নিন্দা জানাই,1.0,1.0,1.0,1.0,1.0,1.0
94,mutu,0.0,0.0,0.0,0.0,0.0,0.0
95,Trump saheber mon karte ei acting koreche,1.0,0.0,0.0,0.0,0.0,0.0
96,পাগল ছাগল কুকুর এসে পড়েছে 🤬🤬🤬🤬🤬🤬🤬🤬,0.0,0.0,0.0,0.0,1.0,0.0
97,কেরাশ খাইছি,1.0,0.0,0.0,0.0,0.0,0.0
98,পুরো হাতি,0.0,0.0,0.0,0.0,1.0,1.0
99,দেখো হাতি টা লাগায় দিছে কেমন😂😂,0.0,0.0,0.0,0.0,1.0,0.0
100,ধাহ ছামা,1.0,1.0,0.0,0.0,0.0,0.0
101,পাগলেসকার,0.0,0.0,0.0,0.0,1.0,0.0
102,ফাল পারে ছিরিয়াল নাম্বার কত বলেন আসব,1.0,1.0,1.0,0.0,0.0,0.0
103,ai khane akhon onkai ase tara apk baje kotha bolbe but blv you are the best???????,0.0,0.0,0.0,0.0,0.0,0.0
104,right now,0.0,0.0,0.0,0.0,0.0,0.0
105,এই টানা শিবির দিয়েছো নাকি এতগুলো পড়া লাগছে তার মানে,0.0,0.0,0.0,0.0,0.0,0.0
106,tor jibon theke neya ??,0.0,0.0,0.0,0.0,0.0,0.0
107,Tor Pasay mara dorkar😡,1.0,0.0,0.0,0.0,0.0,0.0
108,u nice,0.0,0.0,0.0,0.0,0.0,0.0
109,আল্লাহ আমাদের সবাইকে রক্ষা করুন এদের হাত থেকে বেঁচে,0.0,0.0,0.0,0.0,0.0,0.0
110,এদের কে গানজা দেয় কোন হালায়🤣🤣,0.0,1.0,1.0,0.0,0.0,0.0
111,তোর ঠোঁট টা কুত্তার যে লাল বাড়া বের হয় ওই রকম😺😺,1.0,1.0,1.0,0.0,1.0,1.0
112,Correction koro bhai. Tumi rape korba ki diya bolo j tmk rape korbe. ?,1.0,0.0,0.0,0.0,0.0,0.0
113,tore jonmo desilo ke vai aktuo lojja nai,1.0,1.0,0.0,0.0,0.0,0.0
114,কাপড় কুলে নাচ দেকি কেমন লাগে😁😁😁😁😁,1.0,1.0,1.0,0.0,0.0,0.0
115,"আমি তার অনেক বড় ফ্যান, সে কি এখন বাংলাদেশে.? 🤯🤯🤯",0.0,0.0,0.0,0.0,0.0,0.0
116,so cute apu🥰🥰🥰,0.0,0.0,0.0,0.0,0.0,0.0
117,দুই দেশের দুই মাগি একসাথে,1.0,0.0,0.0,0.0,0.0,0.0
118,পাগল তোর সরম নাই লুচ্চা,0.0,0.0,1.0,0.0,0.0,0.0
119,এই কেও এই মাদরচোদের ত্রাণ দে,1.0,0.0,0.0,0.0,0.0,0.0
120,এ সফর সবার ভাগ্যে হয় না । হয় এর থেকে ডের বেশি ভালো নয় নতুবা ভয়ানক খারাপ। ও ভাগ্যবান তাই ও পেরেছে !!,0.0,0.0,0.0,0.0,0.0,0.0
121,tmi amr pothom sokal,0.0,0.0,0.0,0.0,0.0,0.0
122,স্যালুট,0.0,0.0,0.0,0.0,0.0,0.0
123,"HSC pass korte 22 bar  xm diya,,aber English marai,,,falto,",1.0,0.0,0.0,0.0,0.0,0.0
124,r aktu jodi dhekaita sotti bolce gosool kora lagto😏,1.0,0.0,0.0,0.0,0.0,0.0
125,Tora ki soita na lare khinkir pola,1.0,1.0,1.0,0.0,0.0,0.0
126,As salamualaikum salman vai ...ur legend ...plz abar YouTube e.  Videos upload koro vai.....dese onk abal YouTuber.  Asce tmi jawar por    plz vai aso abar ????????,1.0,0.0,0.0,0.0,1.0,0.0
127,"অতীত ভুলে এখন সে কেমন সেটাকেই প্রাধান্য দেওয়া উচিৎ আমাদের,😌💜",0.0,0.0,0.0,0.0,0.0,0.0
128,woww🥰🥰🥰🥰🥰,0.0,0.0,0.0,0.0,0.0,0.0
129,জে মুসলমান সানিলিওন কেদেখতে গেছে তার ইমান নাই,1.0,0.0,0.0,0.0,0.0,0.0
130,পাগল😳,0.0,0.0,0.0,0.0,1.0,0.0
131,ছি ছি🥺🥺,1.0,0.0,0.0,0.0,0.0,0.0
132,tik tar olta,0.0,0.0,0.0,0.0,0.0,0.0
133,Ananda Anabil ki obosta bro ? biyer dawat paile kintu miss dewa jabe na . ar ekhno bhor 5 tay tore phn dey nato? :v,0.0,0.0,0.0,0.0,0.0,0.0
134,মন চায় ..বঙ্গবন্ধু স্যাটেলাইট ২ এর  মাথা তোর পাচায় ঢুকিয়ে আকাশে নিক্ষেপ করি... মঙ্গল গ্রহে গিয়ে এলিয়েনের সোদা খেয়ে  তোর মাথা ঠিক হলেও হতে পারে...,1.0,1.0,1.0,0.0,1.0,0.0
135,এই গানের জালায় এখন আর টিকটকে কয়দিন থাকা যাবে না,0.0,0.0,0.0,0.0,1.0,0.0
136,ami ar amar jamai,0.0,0.0,0.0,0.0,0.0,0.0
137," osadaron ,, e jonnoi to extreme noise all time  best  ????????",0.0,0.0,0.0,0.0,0.0,0.0
138,Sobai nijeke niyei vabe keu Next generation niye vabena re vai ??,0.0,0.0,0.0,0.0,0.0,0.0
139,ধুদ বরো এতো,1.0,0.0,1.0,0.0,0.0,0.0
140,আমি শিওর এটা পুতুল 😏😏😏,0.0,0.0,0.0,0.0,0.0,0.0
141,আবাল😅,1.0,0.0,0.0,0.0,1.0,0.0
142,Esfar Tahmid Milon por valo lagbe,0.0,0.0,0.0,0.0,0.0,0.0
143,valo🥰,0.0,0.0,0.0,0.0,0.0,0.0
144,আহা!!মহা মূল্যবান জিনিস এভাবে না এনে প্রাইভেট জেট এ করে আনলেই তো পারতো।,0.0,0.0,0.0,0.0,0.0,0.0
145,As salamualaikum salman vai ...ur legend ...plz abar YouTube e.  Videos upload koro vai.....dese onk abal YouTuber.  Asce tmi jawar por    plz vai aso abar ????????,1.0,0.0,0.0,0.0,1.0,0.0
146,wow. 100% lovely 🥰🥰🥰🥰,0.0,0.0,0.0,0.0,0.0,0.0
147,দুই সেলিবিটি এক সাথে নাইচ,0.0,0.0,0.0,0.0,0.0,0.0
148,পাগলের মাথা খারাপ,0.0,0.0,0.0,0.0,1.0,0.0
149,ইলিশ চোদেনা প্রেসিডেন্ট ' এই স্লোগান সামনে রেখে শুরু হোক নতুন বছর ☃️ শুভ নববর্ষ ভন্দু  🎭,1.0,1.0,0.0,0.0,0.0,0.0
150,Vab😏😏😏,0.0,0.0,0.0,0.0,0.0,1.0
151,তরমুজ খা🍉,0.0,0.0,0.0,0.0,1.0,0.0
152,Voice ta cute onek🥰🥰🥰🥰🥰🥰,0.0,0.0,0.0,0.0,0.0,0.0
153,"Tui vai ekta lok bote. Parish o tui. Eto eto gali hojom korish kivabe. 2 bosor ageo ami kono gali jantam na. Ar ekhon pry sob  rokomer galii shikhe gechi, sudhu tor post er comment porar karone. ..!!",1.0,0.0,0.0,0.0,0.0,0.0
154,nic,0.0,0.0,0.0,0.0,0.0,0.0
155,পাচ আটা চল্লিশ,1.0,0.0,1.0,0.0,0.0,0.0
156,khankir polare ki mon chay,1.0,1.0,1.0,1.0,1.0,1.0
157,অরে ভাই এইটা আমি কি দেখলাম😳🤣,0.0,0.0,0.0,0.0,0.0,0.0
158,আসলেই মন জয় করা প্রশংসনীয় একটা কন্টেন্ট সত্যি অপুর্ব ওয়াও😂😂😂😂😂😂😂,0.0,0.0,0.0,0.0,0.0,0.0
159,ডানের দুধু দেখা যায় মজা পাইলাম।,0.0,0.0,1.0,0.0,0.0,0.0
160,আরেকটু দেখাইতা,0.0,0.0,0.0,0.0,0.0,0.0
161,"moon apu apni ki janen api dance korle apnake koto sundor lage ooo josss🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,love you",0.0,0.0,0.0,0.0,0.0,0.0
162,You are logical for today. BTW 150 Ta  k khaisilo bhai?,0.0,0.0,0.0,0.0,0.0,0.0
163,ki jani ami,0.0,0.0,0.0,0.0,0.0,0.0
164,এই টারে বিয়ে করবে কে ও বাবা গো 😳😳,0.0,0.0,0.0,0.0,0.0,0.0
165,Khubi valo laglo,0.0,0.0,0.0,0.0,0.0,0.0
166,"নাটাই ছাড়া ঘুড়ি ... শরীর ছাড়া ভূড়ি ... পানি ছাড়া খাল ..আর বয়স ছাড়া বাল ""! বড়ই বেমানান.... ওরে চুদানীর ইবলিশ নাকের বাল গুলো কাটিস",1.0,1.0,1.0,0.0,0.0,0.0
167,poray hejla 😅,1.0,0.0,0.0,0.0,1.0,0.0
168,কলিজা লাইক ও কমেন্ট করে গেলাম একটু কষ্ট করে ছোট্ট ভাই টার আইডিতে গিয়ে কুপিয়ে আসবেন দোয়া রইলো পাশে থাকবেন পাশে পাবেন 😳😳😳😳😳😳,0.0,0.0,0.0,0.0,0.0,0.0
169,এটা আবার কেমন পাগলামি,1.0,0.0,0.0,0.0,1.0,0.0
170,গুদি৷ কালো৷ কি৷ পরোসো,1.0,1.0,0.0,0.0,0.0,1.0
171,অসভ্যতার চরম পর্যায়ে অবস্থান করছে এরা,1.0,0.0,0.0,0.0,0.0,0.0
172,এই দেশে কোন নিয়ম টা ঠিক আছে?,1.0,0.0,0.0,0.0,0.0,0.0
173,"এবার হোটেলে যাও,
টাকা কামাও",0.0,1.0,0.0,0.0,1.0,0.0
174,pura. akta..debba,0.0,0.0,0.0,0.0,0.0,1.0
175,অনেক সুন্দর লাগছে তোমাকে যে,0.0,0.0,0.0,0.0,0.0,0.0
176,কিরে ব্যাটা নাস্তিক,1.0,0.0,0.0,0.0,1.0,1.0
177,�aapnar jodi 1 koti bhokto thake tader moddhe Ami onnotomi...� and more,0.0,0.0,0.0,0.0,0.0,0.0
178,Vaya manush jai boluk tmr fan asi always takbo jai hoye jak...ar tmr moto ei rokom bable ei deshe ar rape hoito na...love and respect my bro??,0.0,0.0,0.0,0.0,0.0,0.0
179,MTO 🥺,0.0,0.0,0.0,0.0,0.0,0.0
180,Jannatul Arpi TA aita por ar poira ko kaar loge mile ????????,0.0,0.0,0.0,0.0,0.0,0.0
181,kichu mone pore??????????,0.0,0.0,0.0,0.0,0.0,0.0
182,apu dekho??,0.0,0.0,0.0,0.0,0.0,0.0
183,tor muke muata,1.0,0.0,0.0,0.0,0.0,0.0
184,O Allah 😂😂😂,0.0,0.0,0.0,0.0,0.0,0.0
185,naujudilla min jalim,0.0,0.0,0.0,0.0,0.0,0.0
186,Vai appstar nam ki pliz ripley,0.0,0.0,0.0,0.0,0.0,0.0
187,Salman vi tmi asolei joss akta manush mentality onek strong bro tmr,0.0,0.0,0.0,0.0,0.0,0.0
188,what a gowa 😳😳😳,1.0,0.0,0.0,0.0,0.0,0.0
189,বচ আমি আপনার বিগ ফেন। আপনার এই পিকে লাভ রিয়্যাক্ট দিয়ে নিজেকে দন্যমনে হচ্ছে  :p,1.0,0.0,0.0,0.0,0.0,0.0
190,আগে পরদাশির হও 😡😡😡😡😡,0.0,0.0,0.0,0.0,0.0,0.0
191,কুকুরের মেয়ে মাগি😏,1.0,1.0,1.0,0.0,1.0,0.0
192,পাগোল,0.0,0.0,0.0,0.0,1.0,0.0
193,"এখানেও আমি করছি,. স্কয়ার",1.0,0.0,0.0,0.0,0.0,0.0
194,"অনেক সুন্দর হইছে🥰আমার আইডি থেকে ঘুরে আসার দাওয়াত রইলো আশাকরি ভালোলাগবে আপনার👉আমার কমেন্টে লাইক না কইরা আমার ভিডিও তে লাইক কমেন্ট করুন,ধন্যবাদ 🥰🥰,",0.0,0.0,0.0,0.0,0.0,0.0
195,poro aita,0.0,0.0,0.0,0.0,0.0,0.0
196,আহারে মানুষ কি বলবো 😌😌😌😌😌,0.0,0.0,0.0,0.0,0.0,0.0
197,এত হাজি সবাই tik tok na calalei paro kutta ra,0.0,1.0,1.0,0.0,0.0,0.0
198,ন্যাংটা হলে সমস্যা নাই,1.0,1.0,0.0,0.0,0.0,0.0
199,support bkk daw,0.0,0.0,0.0,0.0,0.0,0.0
200,josh chilo ??????,0.0,0.0,0.0,0.0,0.0,0.0
201,পুরাই পাগল হয়ে গেলোও এবার তাকে পাবনা নিতে হবে নয়তো আরোও পাগলামি বেড়ে যাবে।,0.0,0.0,0.0,0.0,1.0,0.0
202,আরে ভাই আপনি ইসলাম নিয়ে মজা করবেন না,0.0,0.0,0.0,0.0,0.0,0.0
203,কে বলেছে চিকন মেয়েরা দেখতে সুন্দর না। দেখো তো কিউটের ডিব্বা 🥰,1.0,0.0,0.0,0.0,0.0,0.0
204,zerin i m fida.......❤️,0.0,0.0,0.0,0.0,0.0,0.0
205,500 kore 2ta normal print er 3pis basay pathai dis to...goriber shopping... ?,0.0,0.0,0.0,0.0,0.0,0.0
206,sala budai mathe asis oita rakha dimu,1.0,0.0,0.0,1.0,0.0,0.0
207,Onek valo silo likhata ??????,0.0,0.0,0.0,0.0,0.0,0.0
208,গণমাধ্যমে বেশি  বেশি প্রচার করতে হবে গুজবে কান না দিতে।প্রশাসন কে পাড়া মহল্লা এবং বাস্তায় টহল পুলিশ বাড়াতে হবে ।কোনও শিক্ষিত জাতী এই রকম জঘন্য বর্বরতা দেখাতে পারে  এই সময় দেখলাম ।বিবেক কোথায় গেছে মানুষের ।,1.0,1.0,0.0,0.0,1.0,0.0
209,"আজ বেশির ভাগ #সানিকে খারাপ ভাবে দেখছে। ইসলামে বলে অন্যের দোষ না খোজা, কিন্তু আমরা তো ইবলিসের অনুসারী হয়ে যাচ্ছি না, অতীতকে না টেনে এখনকার জীবনটা দেখেন",1.0,0.0,0.0,0.0,1.0,0.0
210,কিরে মাগির দালাল ভালোই তো আছো 🥰🥰🥰,1.0,1.0,1.0,0.0,0.0,0.0
211,Bruuuuuuuuuuuuh top faaaaaaaaaaaaaaaaan.Fuuuuuuuuuccccccckkj,1.0,1.0,0.0,0.0,0.0,0.0
212,Vai puro video dheho,0.0,0.0,0.0,0.0,0.0,0.0
213,টিকটকে আসলে কতো ধরনের প্রতিবন্ধি দেখার সুযোগ মিলে🤣🤣🤣🤣😁😁😁😁😆😆😆😆😆যত্তো সব পাগল,0.0,0.0,0.0,0.0,1.0,0.0
214,গুয়া?🐸🔪,0.0,0.0,1.0,0.0,0.0,0.0
215,কি হট মালরে ভাই,1.0,1.0,1.0,0.0,0.0,0.0
216,চাচি কেমন আছিস,1.0,0.0,0.0,0.0,0.0,0.0
217,Chorom binodon!!!!????????????????,0.0,0.0,0.0,0.0,0.0,0.0
218,bachabi amare,0.0,0.0,0.0,0.0,0.0,0.0
219,Piche to dakh...,1.0,0.0,0.0,0.0,0.0,0.0
220,দিঘিকে নিল ছবির ডিরেকশন দিতেছে😁😁,0.0,0.0,0.0,0.0,0.0,0.0
221,Pori moni nai kno?😏,0.0,0.0,0.0,0.0,0.0,0.0
222,নামাযের দাওয়াত রইলো,0.0,0.0,1.0,0.0,0.0,0.0
223,"আহা রে,,,কতো দেখছি তোমায়,,,🙄",0.0,0.0,0.0,0.0,0.0,0.0
224,amar allah ache,0.0,0.0,0.0,0.0,0.0,0.0
225,tomar kopal e kharabi ase!!??????,0.0,0.0,0.0,0.0,0.0,0.0
226,ইজলা😂😂,0.0,0.0,0.0,0.0,1.0,1.0
227,একটু বিশ দে কেউ 🙂🔪🐒🐸,0.0,0.0,0.0,0.0,0.0,0.0
228,ভাই সৌদি আরবে মহিলার সংখ্যা বেশি তাই এমন হচ্ছে ইউরোপে মহিলার সংখ্যা কম তাই এভাবে ঘটছে না?,0.0,0.0,0.0,0.0,0.0,0.0
229,ছাত্রালীগের পুটকি দি বক্কা দিবো,0.0,1.0,0.0,0.0,0.0,1.0
230,"Tor moto lucha tahle rap too hobai,jar luchhami video kora film banaia YouTube prochar koros...to muke asob nithii kotha manaina.....!!!",1.0,1.0,1.0,0.0,0.0,0.0
231,কেমনে সম্বভ ভাই 😳,1.0,0.0,0.0,0.0,0.0,0.0
232,এটা ব***** ম**** কাজ,0.0,1.0,1.0,0.0,0.0,0.0
233,জলহস্তী+ (🐘),0.0,0.0,0.0,0.0,1.0,0.0
234,পাগ লি,0.0,0.0,0.0,0.0,1.0,0.0
235,যাক বাবা অনেক কষ্টের পর সরকারি চাকরি পেলাম 😂😅 এখন আর টেনশন নাই বিয়ে করতে পারবো 😂😅😂,0.0,0.0,0.0,0.0,0.0,0.0
236,"কে কে আমার মতো নবি কে ভালোবাসো,, প্লিজ রিপ্লে।। ❤️❤️❤️",1.0,0.0,0.0,0.0,0.0,0.0
237,কালো রঙের ওইটা কী🥺🥺🥺😳😳,1.0,0.0,0.0,0.0,0.0,0.0
238,uffffff🤟,0.0,0.0,0.0,0.0,0.0,0.0
239,Bhai ami ekta kotha koi Shankar bus stand er picher goli te van niya boshe bhai matro 20 tk egula kan huday tk khoroch koren oi tk diya meye potaite parben Toh,0.0,0.0,0.0,0.0,0.0,0.0
